patient_id,patient_idx,param_idx,param_name,class_label,step_idx,branch_side,x_theta,x_exp,delta_theta,objective,plr
n13,5,1,a,Unidentifiable,1,left,1.842067994395237,6.309572940036079,-0.4605169985988091,-16.779429573971893,0.010965207915369035
n13,5,1,a,Unidentifiable,2,center,2.302584992994046,9.999999000000054,0.0,-16.790394781445013,4.4224890416444396e-10
n13,5,1,a,Unidentifiable,3,center,2.302584992994046,9.999999000000054,0.0,-16.790394781445013,4.4224890416444396e-10
n13,5,2,b,Identifiable,1,left,-3.446507290159552,0.03185670853312711,-0.9847163686170148,-11.21390945774942,5.576485324137842
n13,5,2,b,Identifiable,2,left,-2.9541491058510445,0.05212299286190179,-0.4923581843085074,-14.499353287227251,2.2910414946600106
n13,5,2,b,Identifiable,3,center,-2.461790921542537,0.0852820806034219,0.0,-16.790394781445013,4.4224890416444396e-10
n13,5,2,b,Identifiable,4,center,-2.461790921542537,0.0852820806034219,0.0,-16.790394781445013,4.4224890416444396e-10
n13,5,2,b,Identifiable,5,right,-1.9694327372340297,0.13953598733898917,0.4923581843085074,-13.689021898614449,3.1013728832728127
n13,5,2,b,Identifiable,6,right,-1.4770745529255223,0.2283046054329649,0.9847163686170148,-9.331010841658848,7.459383940228413
n13,5,3,Cs0,Practically identifiable,1,center,3.1815958454113487,24.08515908987835,0.0,-16.790394781445013,4.4224890416444396e-10
n13,5,3,Cs0,Practically identifiable,2,center,3.1815958454113487,24.08515908987835,0.0,-16.790394781445013,4.4224890416444396e-10
n13,5,3,Cs0,Practically identifiable,3,right,3.8179150144936185,45.50922326311375,0.6363191690822698,-14.505167961043837,2.285226820843425
n13,5,3,Cs0,Practically identifiable,4,right,4.454234183575888,85.99027285986654,1.2726383381645396,-10.357755551448388,6.432639230438873
n13,5,4,Cc0,Practically identifiable,1,left,1.4451020358624196,4.242284985944469,-0.9634013572416129,-12.822981893478087,3.967412888409175
n13,5,4,Cc0,Practically identifiable,2,left,1.926802714483226,6.867517687241104,-0.48170067862080646,-15.568298477604703,1.2220963042825588
n13,5,4,Cc0,Practically identifiable,3,center,2.4085033931040325,11.117310444920394,0.0,-16.790394781445013,4.4224890416444396e-10
n13,5,4,Cc0,Practically identifiable,4,center,2.4085033931040325,11.117310444920394,0.0,-16.790394781445013,4.4224890416444396e-10
n13,5,4,Cc0,Practically identifiable,5,right,2.890204071724839,17.996981901969864,0.4817006786208067,-15.55849333535539,1.2319014465318716
n13,5,5,Td,Practically identifiable,1,left,4.48823127581049,88.96395394248549,-1.122057818952622,-9.82042452061065,6.969970261276611
n13,5,5,Td,Practically identifiable,2,center,5.610289094763112,273.22321398875977,0.0,-16.790394781445013,4.4224890416444396e-10
n13,5,5,Td,Practically identifiable,3,center,5.610289094763112,273.22321398875977,0.0,-16.790394781445013,4.4224890416444396e-10
n13,5,5,Td,Practically identifiable,4,right,6.214607998422191,499.9999500000022,0.6043189036590793,-8.200540582693364,8.589854199193898
