patient_id,patient_idx,param_idx,param_name,class_label,step_idx,branch_side,x_theta,x_exp,delta_theta,objective,plr
n772,17,1,a,Identifiable,1,left,-5.2619676456409135,0.005185092250576358,-2.3386522869515174,-37.32748984218961,4.678199721137638
n772,17,1,a,Identifiable,2,left,-4.677304573903034,0.009304058521066976,-1.7539892152136378,-38.347270917648444,3.6584186456788004
n772,17,1,a,Identifiable,3,left,-4.092641502165154,0.01669507518478898,-1.1693261434757583,-39.47822638388175,2.5274631794454976
n772,17,1,a,Identifiable,4,left,-3.507978430427275,0.029957414261168346,-0.5846630717378791,-40.92904843916901,1.076641124158236
n772,17,1,a,Identifiable,5,center,-2.923315358689396,0.053755173863063735,0.0,-42.005689563327245,0.0
n772,17,1,a,Identifiable,6,center,-2.923315358689396,0.053755173863063735,0.0,-42.005689563327245,0.0
n772,17,1,a,Identifiable,7,right,-2.338652286951517,0.09645754776619078,0.5846630717378791,-40.14162955669097,1.8640600066362722
n772,17,1,a,Identifiable,8,right,-1.7539892152136378,0.17308210265988894,1.1693261434757583,-36.71927445891687,5.2864151044103735
n772,17,2,b,Practically identifiable,1,left,0.37811606494995514,1.4595323335927002,-1.5124642597998221,-37.002560039873806,5.003129523453438
n772,17,2,b,Practically identifiable,2,left,0.7562321298999106,2.130234632802554,-1.1343481948498666,-40.221796374909076,1.783893188418169
n772,17,2,b,Practically identifiable,3,left,1.1343481948498662,3.109146324714302,-0.7562321298999111,-41.59341900447121,0.4122705588560365
n772,17,2,b,Practically identifiable,4,left,1.5124642597998217,4.537899590791435,-0.37811606494995553,-41.9429794654011,0.0627100979261428
n772,17,2,b,Practically identifiable,5,center,1.8905803247497772,6.623211179357185,0.0,-42.005689563327245,0.0
n772,17,2,b,Practically identifiable,6,center,1.8905803247497772,6.623211179357185,0.0,-42.005689563327245,0.0
n772,17,2,b,Practically identifiable,7,right,2.2686963896997328,9.666790868484457,0.37811606494995553,-42.01278901316512,-0.007099449837873806
n772,17,2,b,Practically identifiable,8,right,2.302585092994046,10.000000000000002,0.4120047682442687,-42.01310096209858,-0.00741139877133179
n772,17,3,Cs0,Practically identifiable,1,left,3.362753964870228,28.868584573109366,-2.241835976580152,-34.500098748922056,7.505590814405188
n772,17,3,Cs0,Practically identifiable,2,left,4.483671953160304,88.55926183421512,-1.120917988290076,-40.391387022352994,1.6143025409742506
n772,17,3,Cs0,Practically identifiable,3,center,5.60458994145038,271.6705017788251,0.0,-42.005689563327245,0.0
n772,17,3,Cs0,Practically identifiable,4,center,5.60458994145038,271.6705017788251,0.0,-42.005689563327245,0.0
n772,17,3,Cs0,Practically identifiable,5,right,6.214608098422191,499.99999999999983,0.6100181569718117,-40.575722509462516,1.429967053864729
n772,17,4,Cc0,Identifiable,1,left,0.5775217968927581,1.781617744702751,-2.3100871875710354,-36.16933802645022,5.836351536877025
n772,17,4,Cc0,Identifiable,2,left,1.1550435937855168,3.1741617882397186,-1.7325653906782765,-38.41294429396444,3.5927452693628013
n772,17,4,Cc0,Identifiable,3,left,1.7325653906782756,5.655142966485303,-1.1550435937855177,-40.719934105697554,1.2857554576296906
n772,17,4,Cc0,Identifiable,4,left,2.3100871875710345,10.075303057921179,-0.5775217968927588,-41.83467029633012,0.17101926699712777
n772,17,4,Cc0,Identifiable,5,center,2.8876089844637933,17.950338711250275,0.0,-42.005689563327245,0.0
n772,17,4,Cc0,Identifiable,6,center,2.8876089844637933,17.950338711250275,0.0,-42.005689563327245,0.0
n772,17,4,Cc0,Identifiable,7,right,3.465130781356552,31.980641971388224,0.5775217968927588,-41.89157257276682,0.11411699056042579
n772,17,4,Cc0,Identifiable,8,right,4.042652578249311,56.97727922321087,1.1550435937855177,-40.52440545515889,1.481284108168353
n772,17,4,Cc0,Identifiable,9,right,4.62017437514207,101.51173170895594,1.7325653906782765,-37.91032001386354,4.095369549463705
n772,17,5,beta,Identifiable,1,left,-3.6906105203729984,0.024956760779298977,-1.0544601486779994,-37.60272199842862,4.402967564898624
n772,17,5,beta,Identifiable,2,left,-3.1633804460339987,0.04228256528770088,-0.5272300743389997,-39.322282692225635,2.68340687110161
n772,17,5,beta,Identifiable,3,center,-2.636150371694999,0.07163651337282667,0.0,-42.005689563327245,0.0
n772,17,5,beta,Identifiable,4,center,-2.636150371694999,0.07163651337282667,0.0,-42.005689563327245,0.0
n772,17,5,beta,Identifiable,5,right,-2.1089202973559993,0.12136893807878554,0.5272300743389997,-28.791631929592167,13.214057633735077
