patient_id,patient_idx,param_idx,param_name,class_label,step_idx,branch_side,x_theta,x_exp,delta_theta,objective,plr
n7,4,1,a,Identifiable,1,left,-2.0493938080284626,0.12881296531062017,-0.9108416924570946,-37.36923428812758,5.038517795142575
n7,4,1,a,Identifiable,2,left,-1.8216833849141891,0.1617532286733354,-0.6831312693428211,-39.302364673466,3.105387409804152
n7,4,1,a,Identifiable,3,left,-1.5939729617999154,0.20311703036379983,-0.4554208462285474,-40.940861480481715,1.466890602788439
n7,4,1,a,Identifiable,4,left,-1.3662625386856417,0.2550584514583468,-0.2277104231142737,-42.02877818942809,0.3789738938420655
n7,4,1,a,Identifiable,5,center,-1.138552115571368,0.32028241818921416,0.0,-42.40775195678845,1.2648170155671323e-7
n7,4,1,a,Identifiable,6,center,-1.138552115571368,0.32028241818921416,0.0,-42.40775195678845,1.2648170155671323e-7
n7,4,1,a,Identifiable,7,right,-0.9108416924570945,0.4021855649738506,0.22771042311427359,-42.023444482300505,0.3843076009696489
n7,4,1,a,Identifiable,8,right,-0.6831312693428209,0.5050331191697697,0.45542084622854717,-40.92776478296457,1.4799873003055808
n7,4,1,a,Identifiable,9,right,-0.4554208462285473,0.6341810190898578,0.6831312693428208,-39.4235816906699,2.984170392600255
n7,4,1,a,Identifiable,10,right,-0.22771042311427367,0.7963548324018997,0.9108416924570943,-38.06710165092025,4.3406504323499036
n7,4,2,b,Practically identifiable,1,left,-1.4766961451790885,0.22839101401201398,-0.8614060846878017,-38.038120430905835,4.369631652364319
n7,4,2,b,Practically identifiable,2,left,-1.3536381330808311,0.25829882365269236,-0.7383480725895443,-39.04475665486333,3.362995428406826
n7,4,2,b,Practically identifiable,3,left,-1.2305801209825737,0.2921230617981105,-0.6152900604912869,-39.98192332051466,2.4258287627554935
n7,4,2,b,Practically identifiable,4,left,-1.1075221088843163,0.3303765848699527,-0.4922320483930295,-40.808975429971774,1.5987766532983798
n7,4,2,b,Practically identifiable,5,left,-0.9844640967860591,0.37363940785259514,-0.3691740362947722,-41.48909141455291,0.9186606687172443
n7,4,2,b,Practically identifiable,6,left,-0.8614060846878017,0.422567498708759,-0.2461160241965148,-41.99357297575649,0.41417910751366094
n7,4,2,b,Practically identifiable,7,left,-0.7383480725895443,0.4779027244241384,-0.1230580120982574,-42.30329121678247,0.10446086648768471
n7,4,2,b,Practically identifiable,8,center,-0.6152900604912869,0.5404840994868494,0.0,-42.40775195678845,1.2648170155671323e-7
n7,4,2,b,Practically identifiable,9,center,-0.6152900604912869,0.5404840994868494,0.0,-42.40775195678845,1.2648170155671323e-7
n7,4,2,b,Practically identifiable,10,right,-0.4922320483930295,0.6112605073555751,0.1230580120982574,-42.30281146164376,0.1049406216263904
n7,4,2,b,Practically identifiable,11,right,-0.3691740362947721,0.6913050878043199,0.2461160241965148,-41.99185706103023,0.4158950222399227
n7,4,2,b,Practically identifiable,12,right,-0.24611602419651468,0.7818315082903574,0.3691740362947722,-41.48853944827188,0.9192126349982743
n7,4,2,b,Practically identifiable,13,right,-0.1230580120982573,0.8842123660582663,0.4922320483930296,-40.82670856343857,1.5810435198315815
n7,4,2,b,Practically identifiable,14,right,8.326672684688674e-17,1.0,0.615290060491287,-40.059928534493764,2.3478235487763897
n7,4,2,b,Practically identifiable,15,right,0.12305801209825747,1.130950027828613,0.7383480725895444,-39.26560477445322,3.1421473088169307
n7,4,3,Cs0,Identifiable,1,left,3.479793620038664,32.453023730902665,-0.8699484050096657,-38.23545161474937,4.172300468520781
n7,4,3,Cs0,Identifiable,2,center,4.34974202504833,77.45847800044807,0.0,-42.40775195678845,1.2648170155671323e-7
n7,4,3,Cs0,Identifiable,3,center,4.34974202504833,77.45847800044807,0.0,-42.40775195678845,1.2648170155671323e-7
n7,4,3,Cs0,Identifiable,4,right,5.219690430057995,184.87694286658126,0.8699484050096657,-38.62742889645285,3.7803231868173057
n7,4,3,Cs0,Identifiable,5,right,6.089638835067661,441.26201399794394,1.7398968100193315,-37.839143630573965,4.568608452696189
n7,4,4,Cc0,Identifiable,1,left,1.2601749152985344,3.5260381914512218,-0.840116610199023,-37.49741997158639,4.910332111683765
n7,4,4,Cc0,Identifiable,2,left,1.680233220398046,5.366807474153642,-0.4200583050995115,-40.456888638374174,1.9508634448959796
n7,4,4,Cc0,Identifiable,3,center,2.1002915254975574,8.168550906357886,0.0,-42.40775195678845,1.2648170155671323e-7
n7,4,4,Cc0,Identifiable,4,center,2.1002915254975574,8.168550906357886,0.0,-42.40775195678845,1.2648170155671323e-7
n7,4,4,Cc0,Identifiable,5,right,2.520349830597069,12.432945327572602,0.4200583050995115,-41.19420994607363,1.2135421371965265
n7,4,4,Cc0,Identifiable,6,right,2.9404081356965803,18.923568120031607,0.840116610199023,-38.444515453527565,3.963236629742589
n7,4,5,beta,Practically identifiable,1,left,-6.907755278982137,0.0010000000000000002,-1.0000000028043132e-7,-42.40775208193208,1.3380727637013479e-9
n7,4,5,beta,Practically identifiable,2,center,-6.9077551789821365,0.0010000001000000055,0.0,-42.40775195678845,1.2648170155671323e-7
n7,4,5,beta,Practically identifiable,3,center,-6.9077551789821365,0.0010000001000000055,0.0,-42.40775195678845,1.2648170155671323e-7
n7,4,5,beta,Practically identifiable,4,right,-5.526204143185709,0.0039810720240207225,1.3815510357964271,-39.10057938995197,3.3071726933181864
n7,4,5,beta,Practically identifiable,5,right,-4.144653107389282,0.01584893287554708,2.7631020715928543,-31.21174231255991,11.196009770710244
